CARPETA|Numero de documentos|Nombres de documentos|Número de documentos de tipo video|Nombre de documentos de tipo video|Tamaño (bytes)|Tamaño (legible)|Formato de video|Tamaño VIDEO_TS (bytes)|Tamaño VIDEO_TS (legible)|Numero de subcarpetas|Nombre de subcarpetas
Black Snake Moan [2006]|1|Black.Snake.Moan.2006.1080p.BluRay.x264-FSiHD.mkv|1|Black.Snake.Moan.2006.1080p.BluRay.x264-FSiHD.mkv|8530123740|7.9 GB|mkv|||0|
Black Swan [2010] US|1|El Cisne Negro_subtitulos spanish español.avi|1|El Cisne Negro_subtitulos spanish español.avi|733280256|699.3 MB|avi|||0|
Blade Runner [1982] US Ridley Scott|2|Blade.Runner.1982.International.Cut.720p.BRRip.x264-x0r.mkv; Blade.Runner.1982.International.Cut.720p.BRRip.x264-x0r.nfo|1|Blade.Runner.1982.International.Cut.720p.BRRip.x264-x0r.mkv|2198190626|2.0 GB|mkv|||0|
Blood in the moon -  Wise 1948|3|Blood in the moon -  Wise 1948.avi; ._Blood in the moon -  Wise 1948.avi; Blood in the moon -  Wise 1948.srt|2|Blood in the moon -  Wise 1948.avi; ._Blood in the moon -  Wise 1948.avi|723369984; 4096|689.9 MB; 4.0 KB|avi|||0|
Blue Velvet [1986] US David Lynch|3|Terciopelo azul[HDrip][Dual AC3 Spa-Eng][www.lokotorrents.com].avi; Terciopelo azul[HDrip][Dual AC3 Spa-Eng][www.lokotorrents.com].English.srt; Terciopelo azul[HDrip][Dual AC3 Spa-Eng][www.lokotorrents.com].Spanish.srt|1|Terciopelo azul[HDrip][Dual AC3 Spa-Eng][www.lokotorrents.com].avi|2012540928|1.9 GB|avi|||0|
Blues In The Night -  Litvak 1941|3|Blues In The Night -  Litvak 1941.avi; ._Blues In The Night -  Litvak 1941.avi; Blues In The Night -  Litvak 1941.srt|2|Blues In The Night -  Litvak 1941.avi; ._Blues In The Night -  Litvak 1941.avi|731228160; 4096|697.4 MB; 4.0 KB|avi|||0|
Bolwieser - Fassbinder 1976|3|Bolwieser - Fassbinder 1976.avi; ._Bolwieser - Fassbinder 1976.avi; Bolwieser - Fassbinder 1976.srt|2|Bolwieser - Fassbinder 1976.avi; ._Bolwieser - Fassbinder 1976.avi|733229056; 4096|699.3 MB; 4.0 KB|avi|||0|
Boy Meets Girl - Carax 1984|4|Boy Meets Girl - Carax 1984.avi; ._Boy Meets Girl - Carax 1984.avi; Boy Meets Girl - Carax 1984.srt; ._Boy Meets Girl - Carax 1984.srt|2|Boy Meets Girl - Carax 1984.avi; ._Boy Meets Girl - Carax 1984.avi|735614976; 4096|701.5 MB; 4.0 KB|avi|||0|
Boyhood (2014)|2|Boyhood (2014) 1080p 5.1ch BluRay RIP - [GeekRG].mp4; Boyhood (2014) 1080p 5.1ch BluRay RIP - [GeekRG].srt|1|Boyhood (2014) 1080p 5.1ch BluRay RIP - [GeekRG].mp4|2846942201|2.7 GB|mp4|||0|
Breaking the Waves [1996] DEN Lars Von Trier|2|Breaking the Waves (1996).avi; Breaking the Waves (1996).FR.srt|1|Breaking the Waves (1996).avi|1485631732|1.4 GB|avi|||0|
Byôsoku go Senchimêtoru (5 Centimeters per Second) [2007] JAP Makoto Shinkai|1|5 Centimetros por Segundo VOS ESP.avi|1|5 Centimetros por Segundo VOS ESP.avi|740114432|705.8 MB|avi|||0|
C'est arrive pres de chez vous [1992] BEL Benoît Poelvoorde|5|Dutch.srt; English.srt; Man Bites Dog (1992).mp4; Spanish.srt; Swedish.srt|1|Man Bites Dog (1992).mp4|1564123919|1.5 GB|mp4|||0|
Cabaret [1972] US Bob Fosse|4|Cabaret [1972 PAL DVD5][En.Es Multisubs[5].iso; ._Cabaret [1972 PAL DVD5][En.Es Multisubs[5].iso; Torrent downloaded from Demonoid.com.txt; [Movie] from Scratzz®.txt|0|||||||1|Covers
California dreamin’ (Nesfarsit) [2007] RUM Cristian Nemescu|6|._California Dreamin' 1 - Nemescu 2007.avi; ._California Dreamin' 2 - Nemescu 2007.avi; California.Dreamin.2007.DVDRip.XviD-NEPTUNE-cd1.FR.srt; ._California.Dreamin.2007.DVDRip.XviD-NEPTUNE-cd1.FR.srt; California.Dreamin.2007.DVDRip.XviD-NEPTUNE-cd2.FR.srt; ._California.Dreamin.2007.DVDRip.XviD-NEPTUNE-cd2.FR.srt|2|._California Dreamin' 1 - Nemescu 2007.avi; ._California Dreamin' 2 - Nemescu 2007.avi|4096; 4096|4.0 KB; 4.0 KB|avi|||0|
Cannibal Holocaust [1980] IT Ruggero Deodato|5|chu.xvid.qix.avi; chu.xvid.qix.nfo; chu.xvid.qix.sfv; Read This Guide Now.txt; www.Torrentday.com.txt|1|chu.xvid.qix.avi|730560512|696.7 MB|avi|||0|
Carne [1991] FR Noe|2|Noé 1991 - Carne.avi; Noé 1991 - Carne.srt|1|Noé 1991 - Carne.avi|712690500|679.7 MB|avi|||0|
Carne de horca [1953] ES-IT Ladislao Wajda|2|Carne de horca - Wajda 1953.avi; ._Carne de horca - Wajda 1953.avi|2|Carne de horca - Wajda 1953.avi; ._Carne de horca - Wajda 1953.avi|723696236; 4096|690.2 MB; 4.0 KB|avi|||0|
Carne Trémula [1997] ES Pedro Almodovar|2|1997 Carne tremula (701,7 Mo).srt; Carne tremula.avi|1|Carne tremula.avi|729948160|696.1 MB|avi|||0|
Casse-tête chinois [2013] FR Cédric Klapisch|1|Casse Tete Chinois 2013.mkv|1|Casse Tete Chinois 2013.mkv|894394803|853.0 MB|mkv|||0|
Charlie and the Chocolate Factory (2005)|2|Charlie.and.the.Chocolate.Factory.2005.720p.BrRip.x264.BOKUTOX.YIFY.mp4; Charlie.and.the.Chocolate.Factory.2005.720p.BrRip.x264.BOKUTOX.YIFY.srt|1|Charlie.and.the.Chocolate.Factory.2005.720p.BrRip.x264.BOKUTOX.YIFY.mp4|787501267|751.0 MB|mp4|||0|
Chicago [2002] US Rob Marshall|3|Chicago Musical 2002 BluRay 720p x264.DTS.mkv; chicago.srt; halcyon-chicago.720p-x264.French.ass|1|Chicago Musical 2002 BluRay 720p x264.DTS.mkv|6979877751|6.5 GB|mkv|||0|
Chimera|1|La chimera (La quimera) (2023) cast.mp4|1|La chimera (La quimera) (2023) cast.mp4|3042975588|2.8 GB|mp4|||0|
Cidade de Deus [2002] BRA Fernando Meirelles|4|Cidade de Deus - Meirelles 2002.avi; ._Cidade de Deus - Meirelles 2002.avi; Cidade de Deus - Meirelles 2002.srt; ._Cidade de Deus - Meirelles 2002.srt|2|Cidade de Deus - Meirelles 2002.avi; ._Cidade de Deus - Meirelles 2002.avi|2348134400; 4096|2.2 GB; 4.0 KB|avi|||0|
Cielo negro|2|Cielo negro - Mur Oti 1951.avi; ._Cielo negro - Mur Oti 1951.avi|2|Cielo negro - Mur Oti 1951.avi; ._Cielo negro - Mur Oti 1951.avi|690673664; 4096|658.7 MB; 4.0 KB|avi|||0|
City for Conquest|3|City for Conquest - Litvak 1940.avi; City for Conquest - Litvak 1940.srt; ._City for Conquest - Litvak 1940.srt|1|City for Conquest - Litvak 1940.avi|730148864|696.3 MB|avi|||0|
Cleo De 5 A 7 - Varda 1962|2|Cleo De 5 A 7 - Varda 1962.avi; ._Cleo De 5 A 7 - Varda 1962.avi|2|Cleo De 5 A 7 - Varda 1962.avi; ._Cleo De 5 A 7 - Varda 1962.avi|875487396; 4096|834.9 MB; 4.0 KB|avi|||0|
Close Encounters of the Third Kind (1977)|3|Close.Encounters.of.the.Third.Kind.720p.BrRip.YIFY.mp4; Close.Encounters.of.the.Third.Kind.720p.BrRip.YIFY.srt; WWW.YIFY-TORRENTS.COM.jpg|1|Close.Encounters.of.the.Third.Kind.720p.BrRip.YIFY.mp4|788951867|752.4 MB|mp4|||1|Other
